language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","RBT","qcheck:bespoke","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.0014
"OCaml","RBT","qcheck:bespoke","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","InsertPost",["insert_3"],true,1.00,0.00,0.00,0.0011
"OCaml","RBT","qcheck:bespoke","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["miscolor_insert"],true,1.00,0.00,0.00,0.0052
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["no_balance_insert_1"],true,0.00,0.00,0.00,0.5000
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0568
"OCaml","RBT","qcheck:bespoke","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertDelete",["insert_3"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","InsertDelete",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertDelete",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0002
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["delete_4"],true,1.00,0.00,0.00,0.0033
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["delete_5"],true,1.00,0.00,0.00,0.0699
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["miscolor_balLeft"],true,155.90,0.00,0.00,0.3989
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["miscolor_balRight"],true,0.00,0.00,0.00,0.5000
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["miscolor_join_2"],true,0.00,0.00,0.00,0.5000
"OCaml","RBT","qcheck:bespoke","DeleteModel",["delete_4"],true,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","DeleteModel",["delete_5"],true,1.00,0.00,0.00,0.0002
"OCaml","RBT","qcheck:bespoke","DeletePost",["delete_4"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","DeletePost",["delete_5"],true,1.00,0.00,0.00,0.0017
"OCaml","RBT","qcheck:bespoke","InsertValid",["miscolor_insert"],true,1.00,0.00,0.00,0.0007
"OCaml","RBT","qcheck:bespoke","InsertValid",["no_balance_insert_1"],true,0.00,0.00,0.00,0.5000
"OCaml","RBT","qcheck:bespoke","InsertValid",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0010
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_delete"],true,1.00,0.00,0.00,0.0001
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_balLeft"],true,1.00,0.00,0.00,0.0005
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_balRight"],true,0.00,0.00,0.00,0.5000
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_join_1"],true,0.00,0.00,0.00,0.5000
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_join_2"],true,0.00,0.00,0.00,0.5000
